5: VIP
6: ashat
6: e
6: elech
6: eman
6: ra
7: achot
7: dash
7: elech
7: esrei
7: fardim
7: h
7: iddur
7: lachim
7: mat
7: mon
7: shkenazim
8: ash
8: ativi
8: ba
8: ban
8: challot
8: dash
8: echem
8: elech
8: eret
8: g
8: ha
8: in
8: ir
8: iva
8: iyahu
8: kodashim
8: min
8: mot
8: odesh
8: oma
8: omer
8: rabba
8: shamayim
8: teak
8: va
8: versatil
9: Leonard
9: Live
9: Long
9: Nimoy
9: Prosper
9: Star
9: Trek
9: ambam
9: and
9: at
9: atei
9: atsach
9: avodat
9: bar
9: duchan
9: fardim
9: gadol
9: ha
9: halacha
9: haron
9: imah
9: in
9: ina
9: knesset
9: kohanim
9: kohen
9: leviim
9: mikdash
9: ohanim
9: om
9: ot
9: shacharit
9: shkenaz
9: sotah
9: tallit
9: tefillah
9: teshuvah
9: tov
9: uchan
9: vulcan
10: ach
10: ag
10: al
10: ambam
10: amot
10: aruch
10: ashi
10: av
10: beitecha
10: dalet
10: deah
10: doorposts
10: ef
10: ezuzot
10: fardim
10: garaj
10: ima
10: in
10: inim
10: irutim
10: mashkof
10: mezuzah
10: mezuzot
10: obah
10: ofki
10: ok
10: on
10: oreh
10: ot
10: shkenazim
10: sofer
10: tefillin
10: u
10: ulah
10: ulchan
10: uzot
10: visharecha
10: walk
11: am
11: ambam
11: an
11: aruch
11: batim
11: ch
11: chah
11: chila
11: deah
11: dikah
11: dok
11: doshim
11: ezuzot
11: id
11: il
11: ir
11: limat
11: man
11: mezuzot
11: more
11: och
11: odea
11: ofit
11: ohah
11: ok
11: oni
11: oreh
11: ot
11: pach
11: susceptible
11: tefillin
11: tom
11: uch
11: ulchan
11: um
11: yoreh
12: ach
12: achot
12: ah
12: all
12: ambam
12: b
12: ba
12: barur
12: bi
12: biceps
12: bod
12: ch
12: chud
12: coordinated
12: ech
12: ernit
12: harmon
12: high
12: ich
12: ific
12: ik
12: im
12: imativi
12: inayim
12: incronim
12: inthesis
12: isham
12: kabelim
12: kaz
12: kivah
12: lubavitch
12: mi
12: mo
12: ok
12: ology
12: onot
12: or
12: ot
12: pe
12: powerfulness
12: r
12: rosh
12: rot
12: sh
12: shah
12: shel
12: signal
12: tefillin
12: these
12: voltage
12: yad
13: ambam
13: aron
13: aruch
13: b
13: bohah
13: ch
13: chak
13: chumash
13: chumshei
13: custom
13: deah
13: dosh
13: doshim
13: down
13: dushah
13: efer
13: eferim
13: face
13: gemara
13: genizah
13: geshamim
13: ha
13: hakama
13: headrest
13: ierarch
13: ilot
13: ilul
13: imu
13: inherent
13: karka
13: kaseh
13: kavod
13: kriah
13: la
13: lalim
13: nach
13: nashok
13: om
13: opel
13: oreh
13: ot
13: poskim
13: rachim
13: sefarim
13: shemesh
13: tach
13: torah
13: u
13: uiim
13: ulchan
13: yesodei
13: zrok
14: G
14: accidentally
14: achamim
14: ambam
14: aruch
14: asku
14: asun
14: b
14: batei
14: bohah
14: care
14: carry
14: ch
14: chazak
14: chikah
14: chokam
14: d
14: daf
14: dash
14: deah
14: diniot
14: doshim
14: eferim
14: ein
14: eloheichem
14: elok
14: eraser
14: erasure
14: farshim
14: genizah
14: gul
14: ha
14: handle
14: harachaman
14: hashchatah
14: hashem
14: hirut
14: ibah
14: ific
14: ikarim
14: imativi
14: inuyim
14: isur
14: italel
14: kadosh
14: kadoshim
14: kavod
14: kein
14: kevurah
14: la
14: lahem
14: lo
14: mindful
14: mindfulness
14: ob
14: ok
14: oreh
14: ot
14: otiyot
14: pe
14: rabbanim
14: rok
14: section
14: sefer
14: shem
14: shemo
14: shemot
14: shmot
14: sof
14: sofer
14: strict
14: ta
14: torah
14: u
14: uch
14: uchot
14: ulchan
14: va
14: varim
14: with
14: yesodei
14: yichud
15: CHILLUL
15: HASHEM
15: KIDDUSH
15: aaisurot
15: adam
15: ah
15: alve
15: am
15: ambam
15: ba
15: be
15: beyosher
15: ch
15: chacham
15: chamur
15: chamurot
15: chillul
15: chiyuvit
15: dati
15: eh
15: elokim
15: epch
15: et
15: gam
15: ha
15: halacha
15: hashem
15: im
15: ir
15: isur
15: ke
15: kiddush
15: lechalel
15: lekadesh
15: leshmirat
15: lo
15: ma
15: me
15: mechaperet
15: medaber
15: mitah
15: mitzvot
15: na
15: nachat
15: nikra
15: omriah
15: omrim
15: oshek
15: ot
15: r
15: ra
15: ramai
15: savlanut
15: shem
15: shuk
15: talmid
15: torah
15: torato
15: u
15: ugma
15: va
15: vayikra
15: ve
15: veha
15: veheqer
15: yehudi
15: yesodei
15: yosher
15: yoter
15: yotz
16: adam
16: ah
16: ambam
16: amud
16: ayah
16: az
16: ba
16: bam
16: baruch
16: be
16: bechirah
16: bi
16: bilti
16: bli
16: chad
16: chazakah
16: chofshi
16: chofshit
16: da
16: efsharit
16: eich
16: ein
16: enoshi
16: ever
16: filosofit
16: gadol
16: gamrei
16: gazar
16: ha
16: hachadah
16: hazaqah
16: hu
16: ikkar
16: im
16: it
16: kadosh
16: kayam
16: ke
16: kol
16: kotev
